Date,Open,High,Low,Close,Adj Close,Volume
1962-01-29,0.093532,0.096338,0.092908,0.094779,0.059535,2179800
1962-02-05,0.094779,0.099144,0.094155,0.098520,0.061885,5099000
1962-02-12,0.098520,0.101326,0.097273,0.099767,0.062668,5605200
1962-02-19,0.099767,0.099767,0.097273,0.097273,0.061101,1595700
1962-02-26,0.096026,0.096338,0.093220,0.095091,0.059731,2179500
1962-03-05,0.095403,0.096961,0.093220,0.094779,0.059535,1556800
1962-03-12,0.095091,0.099144,0.095091,0.097897,0.061493,1712400
1962-03-19,0.097897,0.098832,0.094155,0.094155,0.059296,1634600
1962-03-26,0.094155,0.094779,0.091350,0.093220,0.058707,1401100
1962-04-02,0.093220,0.094155,0.091661,0.092597,0.058315,1440100
1962-04-09,0.092597,0.093532,0.084802,0.086673,0.054584,2919200
1962-04-16,0.086985,0.092597,0.086985,0.091038,0.057333,2257500
1962-04-23,0.092285,0.094467,0.089167,0.089167,0.056155,2724500
1962-04-30,0.087608,0.087920,0.085426,0.086673,0.054584,1790400
1962-05-07,0.086049,0.086673,0.076073,0.077943,0.049086,2958200
1962-05-14,0.077943,0.082932,0.077943,0.079814,0.050265,1946000
1962-05-21,0.079814,0.082308,0.076073,0.077943,0.049086,3269400
1962-05-28,0.077943,0.082308,0.070772,0.079814,0.050265,11833100
1962-06-04,0.079502,0.080437,0.074202,0.078567,0.049479,4437300
1962-06-11,0.077320,0.077320,0.064849,0.071396,0.044963,4242500
1962-06-18,0.071396,0.073267,0.067967,0.067967,0.042942,2724600
1962-06-25,0.067343,0.068590,0.065161,0.066719,0.042154,2607800
1962-07-02,0.065472,0.071084,0.065472,0.067967,0.042942,1790400
1962-07-09,0.067967,0.074202,0.067967,0.073267,0.046291,3814500
1962-07-16,0.072955,0.072955,0.069837,0.071708,0.045306,1206600
1962-07-23,0.071708,0.071708,0.066719,0.067343,0.042548,2296500
1962-07-30,0.067967,0.071396,0.067967,0.069214,0.043730,2140700
1962-08-06,0.070149,0.072331,0.070149,0.071084,0.044912,2491000
1962-08-13,0.070772,0.074826,0.069837,0.074826,0.047276,3386300
1962-08-20,0.075449,0.080749,0.075449,0.080749,0.051019,3425100
1962-08-27,0.080749,0.081373,0.074826,0.077943,0.049246,1712500
1962-09-03,0.077320,0.077320,0.073890,0.073890,0.046685,700500
1962-09-10,0.073578,0.074202,0.071708,0.072020,0.045503,1011900
1962-09-17,0.071708,0.072331,0.068590,0.068590,0.043485,1011900
1962-09-24,0.068590,0.068590,0.063913,0.063913,0.040520,2491000
1962-10-01,0.063913,0.065784,0.061731,0.064849,0.041113,2023800
1962-10-08,0.064849,0.065161,0.062355,0.062978,0.039927,817300
1962-10-15,0.062978,0.063602,0.061108,0.061108,0.038741,1323300
1962-10-22,0.060796,0.060796,0.052378,0.053625,0.033998,5916400
1962-10-29,0.057366,0.064849,0.057366,0.064537,0.040916,3503000
1962-11-05,0.066408,0.067967,0.063602,0.067343,0.042695,3347500
1962-11-12,0.068902,0.074202,0.068902,0.072331,0.045857,3269400
1962-11-19,0.072955,0.076384,0.072955,0.074826,0.047438,2685800
1962-11-26,0.074826,0.076384,0.069837,0.071396,0.045264,4593000
1962-12-03,0.072020,0.073890,0.071396,0.071396,0.045264,2763500
1962-12-10,0.071396,0.072331,0.069214,0.069837,0.044276,1985000
1962-12-17,0.069837,0.074501,0.069214,0.073217,0.046418,3191600
1962-12-24,0.073538,0.077070,0.073538,0.075465,0.048019,2530000
1962-12-31,0.074501,0.079639,0.071290,0.079639,0.050676,3853400
1963-01-07,0.079639,0.083172,0.077713,0.082851,0.052719,5060000
1963-01-14,0.082851,0.087989,0.081566,0.085741,0.054558,5254600
1963-01-21,0.085741,0.086383,0.080282,0.082208,0.052310,3970300
1963-01-28,0.082208,0.083493,0.080924,0.081887,0.052106,2491000
1963-02-04,0.081887,0.082851,0.079639,0.079960,0.050880,3191600
1963-02-11,0.080282,0.084777,0.079960,0.084777,0.053945,2919200
1963-02-18,0.085741,0.088631,0.085741,0.087989,0.055988,4593000
1963-02-25,0.087989,0.090879,0.083493,0.084135,0.053536,5916400
1963-03-04,0.084135,0.088310,0.084135,0.087667,0.055784,2724600
1963-03-11,0.087989,0.091200,0.087346,0.087346,0.055580,2335300
1963-03-18,0.087346,0.089273,0.085098,0.086704,0.055333,1868200
1963-03-25,0.086704,0.088310,0.086062,0.087025,0.055538,1517900
1963-04-01,0.087025,0.089594,0.086704,0.088631,0.056563,1673700
1963-04-08,0.088631,0.089594,0.086062,0.086383,0.055128,2763600
1963-04-15,0.086383,0.087346,0.085098,0.085420,0.054514,1985000
1963-04-22,0.085420,0.085420,0.082851,0.085098,0.054309,2374400
1963-04-29,0.086062,0.094411,0.085420,0.093127,0.059432,6655900
1963-05-06,0.093127,0.093769,0.090236,0.091521,0.058407,3152700
1963-05-13,0.091521,0.092806,0.089915,0.089915,0.057383,1595800
1963-05-20,0.089594,0.092484,0.089273,0.090558,0.057793,3074900
1963-05-27,0.090236,0.090558,0.088952,0.089915,0.057383,2568900
1963-06-03,0.089915,0.092163,0.087989,0.092163,0.058817,4593000
1963-06-10,0.092163,0.097944,0.091842,0.095696,0.061249,7512300
1963-06-17,0.096338,0.101155,0.096338,0.099870,0.063921,6111000
1963-06-24,0.099870,0.101476,0.094090,0.096980,0.062071,4009100
1963-07-01,0.096338,0.100191,0.095053,0.098907,0.063304,2374300
1963-07-08,0.098907,0.106293,0.096980,0.101797,0.065154,13000900
1963-07-15,0.101797,0.102760,0.096980,0.098265,0.062893,4164900
1963-07-22,0.098265,0.101476,0.095696,0.099549,0.063715,3581000
1963-07-29,0.100513,0.103082,0.099228,0.099870,0.063921,3814500
1963-08-05,0.099870,0.109183,0.099870,0.109183,0.069881,23510800
1963-08-12,0.109504,0.115605,0.109504,0.110467,0.070703,15024900
1963-08-19,0.111752,0.113679,0.110789,0.112073,0.071731,4476200
1963-08-26,0.112073,0.117211,0.112073,0.114963,0.073581,7551200
1963-09-02,0.114963,0.115605,0.109183,0.111110,0.071114,4242700
1963-09-09,0.110467,0.116569,0.106935,0.116569,0.074781,10081500
1963-09-16,0.116569,0.119138,0.110467,0.110467,0.070867,5060100
1963-09-23,0.110467,0.111431,0.107898,0.108541,0.069631,4670700
1963-09-30,0.108541,0.115605,0.105972,0.114000,0.073133,4437300
1963-10-07,0.114000,0.114963,0.109825,0.112394,0.072103,3386200
1963-10-14,0.113358,0.115927,0.113358,0.115927,0.074369,17788700
1963-10-21,0.115927,0.116569,0.113036,0.113036,0.072515,5721700
1963-10-28,0.113036,0.114642,0.109825,0.111752,0.071691,3580800
1963-11-04,0.111752,0.114000,0.107256,0.114000,0.073133,3113900
1963-11-11,0.114000,0.114963,0.107898,0.107898,0.069219,6772700
1963-11-18,0.107898,0.107898,0.098586,0.098586,0.063245,6928600
1963-11-25,0.102760,0.109183,0.102760,0.109183,0.070043,4943400
1963-12-02,0.109183,0.109825,0.104045,0.104045,0.066747,3464100
1963-12-09,0.104045,0.105651,0.102118,0.102760,0.065923,2296300
1963-12-16,0.102760,0.102760,0.096980,0.098265,0.063195,3230700
1963-12-23,0.098265,0.100191,0.096659,0.096980,0.062369,4086900
1963-12-30,0.096980,0.105972,0.096980,0.105329,0.067738,3697700
1964-01-06,0.105329,0.105329,0.100834,0.102118,0.065673,4670700
1964-01-13,0.101476,0.102118,0.098586,0.099549,0.064021,3191600
1964-01-20,0.100191,0.103403,0.100191,0.102760,0.066086,4164900
1964-01-27,0.102760,0.103724,0.100191,0.100513,0.064640,2101700
1964-02-03,0.101476,0.107577,0.101476,0.106614,0.068564,4826400
1964-02-10,0.106935,0.107898,0.104045,0.105651,0.067945,3542000
1964-02-17,0.105651,0.106935,0.105329,0.105329,0.067738,2374300
1964-02-24,0.105651,0.107256,0.102760,0.103403,0.066499,2919100
1964-03-02,0.103082,0.103082,0.099549,0.102760,0.066086,2335200
1964-03-09,0.102760,0.105008,0.102760,0.104045,0.066912,3074900
1964-03-16,0.104045,0.115605,0.103403,0.112394,0.072463,14441100
1964-03-23,0.113036,0.118174,0.113036,0.118174,0.076189,7785000
1964-03-30,0.118174,0.118817,0.112394,0.116569,0.075154,5916300
1964-04-06,0.116569,0.122991,0.113036,0.122028,0.078674,18489400
1964-04-13,0.123313,0.127166,0.118496,0.120101,0.077432,12572600
1964-04-20,0.120422,0.124276,0.118174,0.119459,0.077018,10276000
1964-04-27,0.118174,0.118496,0.113358,0.114963,0.074119,6850600
1964-05-04,0.115605,0.121386,0.115605,0.120743,0.077846,7006300
1964-05-11,0.120743,0.120743,0.113679,0.115284,0.074326,5332600
1964-05-18,0.115284,0.115605,0.109504,0.113679,0.073291,4904400
1964-05-25,0.113036,0.113036,0.108220,0.108862,0.070185,1985000
1964-06-01,0.107898,0.107898,0.104366,0.104687,0.067494,5566100
1964-06-08,0.104366,0.105008,0.097622,0.102118,0.065838,12533700
1964-06-15,0.102760,0.107898,0.102760,0.105651,0.068286,12378100
1964-06-22,0.105651,0.106614,0.101476,0.101476,0.065587,3814400
1964-06-29,0.101476,0.106614,0.100191,0.106614,0.068908,3736600
1964-07-06,0.106614,0.109825,0.106293,0.108220,0.069946,5994300
1964-07-13,0.108862,0.114321,0.108862,0.112073,0.072437,4982200
1964-07-20,0.112073,0.112715,0.108541,0.108541,0.070154,2140700
1964-07-27,0.108862,0.110467,0.105329,0.105972,0.068493,2529900
1964-08-03,0.105972,0.108541,0.100834,0.102760,0.066418,3580800
1964-08-10,0.102118,0.104687,0.100513,0.104045,0.067248,2607900
1964-08-17,0.104045,0.104045,0.101155,0.101155,0.065380,2452100
1964-08-24,0.101155,0.105651,0.100834,0.105651,0.068286,2296500
1964-08-31,0.106614,0.115605,0.106614,0.113679,0.073475,7668000
1964-09-07,0.113679,0.117211,0.111431,0.116890,0.075550,11132400
1964-09-14,0.116890,0.117532,0.114000,0.115927,0.074927,6889500
1964-09-21,0.116248,0.123313,0.116248,0.121386,0.078456,10276200
1964-09-28,0.121386,0.122028,0.117532,0.117853,0.076173,4982200
1964-10-05,0.117532,0.122349,0.114963,0.122028,0.078871,4476200
1964-10-12,0.122028,0.127166,0.118174,0.126524,0.081777,10431800
1964-10-19,0.126524,0.131020,0.125882,0.126845,0.081984,7473500
1964-10-26,0.126203,0.126203,0.122991,0.123955,0.080116,3269500
1964-11-02,0.124597,0.125560,0.120101,0.120101,0.077626,2296400
1964-11-09,0.119780,0.122028,0.119138,0.120743,0.078041,2296400
1964-11-16,0.120743,0.125882,0.120743,0.123955,0.080116,2841400
1964-11-23,0.123955,0.124597,0.120101,0.120743,0.078041,1206500
1964-11-30,0.116248,0.117853,0.111431,0.117853,0.076173,3464200
1964-12-07,0.118817,0.119780,0.114321,0.114321,0.074049,2958000
1964-12-14,0.114321,0.119459,0.113679,0.118817,0.076961,1556800
1964-12-21,0.118817,0.120101,0.115605,0.118174,0.076545,1673600
1964-12-28,0.118174,0.118174,0.116248,0.116890,0.075713,3113800
1965-01-04,0.117532,0.128129,0.117532,0.123955,0.080289,5994400
1965-01-11,0.123313,0.124918,0.122670,0.122670,0.079457,2413200
1965-01-18,0.123313,0.124597,0.119780,0.120743,0.078209,2257500
1965-01-25,0.120743,0.125239,0.120743,0.124597,0.080705,3308400
1965-02-01,0.124597,0.132946,0.124597,0.130056,0.084241,15336400
1965-02-08,0.130056,0.136158,0.129093,0.132946,0.086113,11366000
1965-02-15,0.132946,0.134873,0.132946,0.134873,0.087361,2179600
1965-02-22,0.134231,0.141296,0.133589,0.141296,0.091521,6111200
1965-03-01,0.141296,0.147718,0.140011,0.143222,0.092769,9886900
1965-03-08,0.143222,0.144507,0.141617,0.144507,0.093601,8485500
1965-03-15,0.144828,0.147718,0.144828,0.146434,0.095022,3113800
1965-03-22,0.146434,0.147076,0.142259,0.142259,0.092313,4943300
1965-03-29,0.142259,0.142259,0.136158,0.138405,0.089812,2413100
1965-04-05,0.139048,0.140011,0.134873,0.136158,0.088354,3269500
1965-04-12,0.137121,0.142580,0.137121,0.142259,0.092313,3386400
1965-04-19,0.142259,0.143865,0.141296,0.142259,0.092313,3074800
1965-04-26,0.142259,0.143865,0.141296,0.141296,0.091688,3152900
1965-05-03,0.141296,0.145791,0.140653,0.145149,0.094188,3542000
1965-05-10,0.145470,0.147076,0.144186,0.147076,0.095439,3113800
1965-05-17,0.147076,0.151572,0.147076,0.147397,0.095647,5021100
1965-05-24,0.147397,0.148360,0.142580,0.145149,0.094188,2568900
1965-05-31,0.145149,0.147397,0.139369,0.140011,0.090854,2880300
1965-06-07,0.140011,0.140011,0.133589,0.133589,0.086687,2919200
1965-06-14,0.133589,0.135515,0.128451,0.131020,0.085185,3230600
1965-06-21,0.130377,0.130377,0.121386,0.122028,0.079339,6889600
1965-06-28,0.122028,0.125239,0.113036,0.125239,0.081427,4398200
1965-07-05,0.126203,0.131662,0.125882,0.131662,0.085603,2296400
1965-07-12,0.131020,0.131662,0.129414,0.130377,0.084768,2413100
1965-07-19,0.131020,0.131662,0.127808,0.128451,0.083515,5332500
1965-07-26,0.128451,0.131662,0.127808,0.131662,0.085603,1946000
1965-08-02,0.131662,0.134231,0.129735,0.131020,0.085185,3892200
1965-08-09,0.131020,0.132304,0.130377,0.132304,0.086020,4943300
1965-08-16,0.132304,0.133910,0.132304,0.132625,0.086229,4281600
1965-08-23,0.132304,0.132304,0.126524,0.126524,0.082262,4826500
1965-08-30,0.126524,0.127808,0.124918,0.125882,0.081845,1673700
1965-09-06,0.125882,0.125882,0.123313,0.123313,0.080175,1556800
1965-09-13,0.123313,0.128451,0.123313,0.127808,0.083272,6422400
1965-09-20,0.128129,0.129414,0.126524,0.126524,0.082435,4281600
1965-09-27,0.126524,0.129414,0.124597,0.128451,0.083690,5021100
1965-10-04,0.128451,0.128451,0.124597,0.127808,0.083272,3230600
1965-10-11,0.127808,0.131662,0.126524,0.131662,0.085782,7745800
1965-10-18,0.131662,0.133910,0.130377,0.132304,0.086201,7706900
1965-10-25,0.133589,0.143222,0.132946,0.135836,0.088502,12689500
1965-11-01,0.135836,0.136158,0.134231,0.134231,0.087456,2491000
1965-11-08,0.134231,0.147718,0.132946,0.146112,0.095198,14207400
1965-11-15,0.146112,0.148681,0.140332,0.141617,0.092268,10743100
1965-11-22,0.141617,0.143222,0.135515,0.136800,0.089130,3425200
1965-11-29,0.136800,0.137442,0.131341,0.136800,0.089295,9809000
1965-12-06,0.136800,0.148360,0.131662,0.147397,0.096213,16309500
1965-12-13,0.147397,0.153498,0.145791,0.147397,0.096213,8991500
1965-12-20,0.147397,0.152856,0.147397,0.149003,0.097261,4670900
1965-12-27,0.149003,0.156067,0.146755,0.152214,0.099357,8446600
1966-01-03,0.152214,0.155746,0.151572,0.153498,0.100195,7668100
1966-01-10,0.153498,0.154783,0.149645,0.152214,0.099357,5021100
1966-01-17,0.153177,0.157352,0.148360,0.152535,0.099567,10353900
1966-01-24,0.152856,0.157994,0.152214,0.152214,0.099357,8602200
1966-01-31,0.152535,0.155425,0.147718,0.151893,0.099147,5254600
1966-02-07,0.150929,0.154783,0.149003,0.154141,0.100615,10509700
1966-02-14,0.154141,0.154141,0.146755,0.147718,0.096422,4203800
1966-02-21,0.148039,0.149645,0.142580,0.143543,0.093697,4242700
1966-02-28,0.143543,0.143865,0.134873,0.138727,0.090553,8446700
1966-03-07,0.137442,0.139690,0.132304,0.135515,0.088457,7901600
1966-03-14,0.135515,0.141296,0.134231,0.141296,0.092407,10042500
1966-03-21,0.141296,0.145791,0.139369,0.139369,0.091146,8524300
