Date,Open,High,Low,Close,Adj Close,Volume
1962-02-01,7.300000,7.480000,7.093333,7.160000,1.737660,5737600
1962-03-01,7.186666,7.413333,7.070000,7.103333,1.724142,5344000
1962-04-01,7.100000,7.100000,6.000000,6.053333,1.469284,12851200
1962-05-01,6.053333,6.530000,4.733333,5.233333,1.270252,49307200
1962-06-01,5.213333,5.213333,4.000000,4.523334,1.098091,68451200
1962-07-01,4.523334,5.246666,4.513333,5.160000,1.252649,41052800
1962-08-01,5.146667,5.530000,4.940000,5.283333,1.282589,41353600
1962-09-01,5.283333,5.353333,4.646667,4.713333,1.144442,33204800
1962-10-01,4.713333,4.956666,4.293334,4.613333,1.120160,42958400
1962-11-01,4.613333,5.356667,4.560000,5.313334,1.290128,36654400
1962-12-01,5.260000,5.413333,5.086667,5.200000,1.262873,21891200
1963-01-01,5.200000,5.660000,5.123333,5.650000,1.372161,28531200
1963-02-01,5.650000,5.665000,5.320000,5.330000,1.294445,13190400
1963-03-01,5.330000,5.643333,5.296667,5.613333,1.363580,12147200
1963-04-01,5.613333,6.326667,5.566667,6.183333,1.502042,18203200
1963-05-01,6.183333,6.380000,6.100000,6.363333,1.545769,11387200
1963-06-01,6.363333,6.383333,5.760000,5.816667,1.413280,12854400
1963-07-01,5.816667,5.973333,5.670000,5.793334,1.407612,16763200
1963-08-01,5.793334,6.126667,5.733333,5.930000,1.440817,13878400
1963-09-01,5.938334,6.253334,5.938334,6.026667,1.464638,18100800
1963-10-01,6.026667,6.690000,5.980000,6.586667,1.600733,24403200
1963-11-01,6.586667,6.610000,6.146667,6.470000,1.572380,12488000
1963-12-01,6.506667,6.793334,6.313334,6.760000,1.643279,13035200
1964-01-01,6.800000,7.560000,6.766667,7.226666,1.756721,22300800
1964-02-01,7.226666,7.686666,7.120000,7.586667,1.844231,11291200
1964-03-01,7.586667,7.926667,7.413333,7.923333,1.926516,11723200
1964-04-01,7.933333,8.020000,7.603333,7.603333,1.848711,12776000
1964-05-01,7.613333,8.233334,7.613333,8.000000,1.945158,10512000
1964-06-01,8.000000,8.058333,7.683333,7.950000,1.933492,8619200
1964-07-01,7.979167,8.200000,7.666667,7.700000,1.872691,9276800
1964-08-01,7.700000,7.700000,7.091667,7.341667,1.785542,11555200
1964-09-01,7.341667,7.433333,6.866667,7.275000,1.769808,11804800
1964-10-01,7.275000,7.275000,6.916667,7.000000,1.702910,7595200
1964-11-01,6.995833,7.241667,6.875000,6.875000,1.672500,8470400
1964-12-01,6.858333,6.966667,6.783333,6.825000,1.660829,8364800
1965-01-01,6.825000,7.500000,6.733333,7.475000,1.819002,11296000
1965-02-01,7.458333,7.618750,7.083333,7.595833,1.848407,7942400
1965-03-01,7.595833,7.825000,7.466667,7.570833,1.842945,7204800
1965-04-01,7.583333,8.083333,7.583333,8.083333,1.967701,6395200
1965-05-01,8.066667,8.191667,7.666667,7.966667,1.939302,5681600
1965-06-01,7.933333,7.958333,7.291667,7.633333,1.858736,14480000
1965-07-01,7.633333,7.983333,7.583333,7.983333,1.943962,7908800
1965-08-01,7.983333,8.397917,7.904167,8.316667,2.025130,9350400
1965-09-01,8.316667,8.620833,8.300000,8.541667,2.080572,7246400
1965-10-01,8.512500,8.883333,8.387500,8.883333,2.163796,7057600
1965-11-01,8.883333,9.233334,8.700000,8.750000,2.131318,4550400
1965-12-01,8.750000,8.795834,8.237500,8.316667,2.026340,12908800
1966-01-01,8.291667,8.558333,7.866667,8.266666,2.014154,12648000
1966-02-01,8.266666,8.745833,8.133333,8.583333,2.091311,8011200
1966-03-01,8.583333,8.750000,8.241667,8.600000,2.095997,9123200
1966-04-01,8.600000,9.366667,8.566667,9.291667,2.264570,7316800
1966-05-01,9.291667,9.350000,8.600000,9.068750,2.210241,10494400
1966-06-01,8.912500,9.162500,8.312500,8.762500,2.136241,13753600
1966-07-01,8.806250,9.037500,8.518750,8.518750,2.076816,6025600
1966-08-01,8.518750,8.768750,7.656250,8.012500,1.953395,10428800
1966-09-01,8.012500,8.462500,7.662500,7.937500,1.935730,10038400
1966-10-01,7.937500,8.371875,7.237500,8.300000,2.024135,11531200
1966-11-01,8.359375,9.425000,8.359375,9.400000,2.292394,10068800
1966-12-01,9.400000,9.650000,9.075000,9.287500,2.265682,6968000
1967-01-01,9.287500,10.150000,9.062500,9.987500,2.436445,10628800
1967-02-01,9.850000,10.881250,9.762500,10.750000,2.622457,6753600
1967-03-01,10.812500,11.525000,10.800000,11.275000,2.751290,7043200
1967-04-01,11.187500,12.475000,10.925000,12.412500,3.028859,8220800
1967-05-01,12.125000,12.125000,11.450000,11.656250,2.844322,8121600
1967-06-01,11.656250,12.775000,11.587500,12.437500,3.035631,9611200
1967-07-01,12.437500,12.737500,12.200000,12.693750,3.098175,6238400
1967-08-01,12.693750,12.862500,12.131250,12.493750,3.049362,5624000
1967-09-01,12.493750,13.937500,12.462500,13.706250,3.346020,7054400
1967-10-01,13.700000,15.012500,13.525000,14.837500,3.622182,6659200
1967-11-01,14.725000,15.512500,14.187500,15.300000,3.735092,9472000
1967-12-01,15.300000,16.200001,15.250000,15.675000,3.833881,6500800
1968-01-01,15.675000,15.681250,14.718750,14.862500,3.635151,10377600
1968-02-01,14.862500,15.050000,14.212500,14.500000,3.546488,10609600
1968-03-01,14.500000,15.325000,14.000000,15.312500,3.753400,11905600
1968-04-01,15.637500,16.937500,15.625000,16.937500,4.151725,11107200
1968-05-01,16.975000,17.850000,16.125000,17.850000,4.375394,11739200
1968-06-01,18.450001,18.750000,17.250000,17.687500,4.343676,10641600
1968-07-01,17.687500,18.250000,16.299999,16.937500,4.159493,9384000
1968-08-01,16.937500,17.325001,16.500000,16.750000,4.113444,7364800
1968-09-01,16.750000,17.075001,16.500000,16.750000,4.121374,6200000
1968-10-01,16.525000,16.650000,15.225000,15.350000,3.776902,17635200
1968-11-01,15.400000,16.737499,15.375000,16.687500,4.105999,10878400
1968-12-01,16.687500,16.737499,15.500000,15.750000,3.875323,8513600
1969-01-01,15.750000,15.762500,14.750000,14.812500,3.644647,15188800
1969-02-01,14.812500,15.525000,14.662500,14.668750,3.609280,9505600
1969-03-01,14.668750,15.775000,14.587500,15.700000,3.873461,7593600
1969-04-01,15.700000,16.512501,15.262500,16.400000,4.046164,7721600
1969-05-01,16.400000,16.743750,15.912500,15.950000,3.935141,7235200
1969-06-01,15.950000,16.975000,15.387500,16.887501,4.176704,9937600
1969-07-01,16.887501,18.225000,15.500000,16.225000,4.012851,17296000
1969-08-01,16.299999,17.537500,16.275000,17.250000,4.266360,11720000
1969-09-01,17.250000,18.012501,16.549999,17.262501,4.282648,10350400
1969-10-01,17.262501,18.250000,17.000000,18.025000,4.471816,12192000
1969-11-01,18.000000,18.437500,17.212500,17.850000,4.428402,8328000
1969-12-01,17.924999,18.350000,17.512501,18.225000,4.534014,11555200
1970-01-01,18.225000,19.350000,16.712500,16.759375,4.169390,15148800
1970-02-01,16.850000,17.750000,16.737499,17.012501,4.232368,12294400
1970-03-01,17.012501,17.049999,15.762500,16.924999,4.210598,15971200
1970-04-01,16.924999,17.025000,14.312500,14.900000,3.706817,18692800
1970-05-01,14.900000,14.950000,11.850000,13.900000,3.458038,29678400
1970-06-01,13.900000,14.350000,12.500000,12.500000,3.122320,21307200
1970-07-01,12.500000,13.125000,12.100000,12.612500,3.150421,18169600
1970-08-01,12.593750,13.575000,10.937500,13.312500,3.341085,22201600
1970-09-01,13.262500,14.775000,12.962500,14.587500,3.661077,17121600
1970-10-01,14.587500,15.487500,14.150000,14.700000,3.689314,13166400
1970-11-01,14.700000,15.450000,14.425000,15.362500,3.871144,13985600
1970-12-01,15.362500,16.037500,15.312500,15.887500,4.003438,15844800
1971-01-01,15.837500,16.387501,15.500000,16.275000,4.101083,13894400
